,y,x
149539313,29.4054881,-98.4795782
149539318,29.404075,-98.479828
149539323,29.3516733,-98.5465687
149539327,29.351649,-98.552295
149539333,29.351716,-98.554072
149539338,29.390954,-98.460139
149539361,29.384105,-98.460117
149539405,29.337806,-98.534125
149539407,29.337805,-98.533271
149539410,29.337799,-98.532573
149539412,29.3378,-98.531871
149539414,29.337804,-98.531171
149539416,29.3378067,-98.5304623
149539418,29.337819,-98.529732
149539635,29.333343,-98.533904
149539637,29.333234,-98.534508
149539639,29.333083,-98.53575
149539644,29.33324,-98.525167
149539649,29.333211,-98.529823
149539653,29.333188,-98.531419
149539661,29.3344571,-98.5505662
149539662,29.3344541,-98.5507451
149539663,29.3344541,-98.5509082
149539665,29.3344521,-98.5510822
149539667,29.3344411,-98.5523132
149539680,29.333211,-98.541646
149539690,29.333252,-98.542591
149539693,29.333245,-98.544701
149539699,29.333217,-98.537701
149539710,29.333158,-98.549148
149539712,29.33316,-98.548655
149539718,29.333076,-98.536726
149539720,29.333069,-98.537164
149540498,29.339571,-98.532582
149540500,29.335885,-98.532569
149540672,29.339573,-98.531894
149540673,29.335886,-98.531866
149540722,29.402241,-98.703963
149540731,29.339576,-98.53118
149540878,29.3359596,-98.5304836
149540899,29.401525,-98.699443
149540956,29.339465,-98.61301
